candidate_id,scenario,strategy,start_before_arrival_s,target_temp_c,max_thermal_power_w,arrival_core_temp_c,arrival_surface_temp_c,arrival_temperature_deviation_c,arrival_soc,preconditioning_energy_kwh,charge_time_s,charge_time_min,grid_energy_kwh,final_soc,peak_core_temp_c,relative_aging_damage,charge_status,preconditioning_status,max_route_power_closure_residual_w,charge_complete,final_soc_ok,arrival_soc_ok,temperature_ok,power_closure_ok,feasible,constraint_failure_reason
optimized-005,mild_arrival,optimized,600.0,20.0,5000.0,22.474726123233967,15.173121162128536,2.5252738767660325,0.23568907737052425,0.29919150166996045,845.0,14.083333333333334,47.1268336669696,0.8,35.477550761257206,0.00034093425118785815,charge_complete,optimized_precool,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-006,mild_arrival,optimized,600.0,25.0,2500.0,25.38419755648503,23.233077684122755,0.38419755648503084,0.2392274602613345,0.05843082605653354,840.0,14.0,46.839333083455415,0.8,36.839826873564625,0.00036142427877751567,charge_complete,target_deadband,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-007,mild_arrival,optimized,600.0,25.0,3750.0,25.383363309634845,23.22437662515111,0.383363309634845,0.2392258447989381,0.05854133657585768,840.0,14.0,46.83954696385327,0.8,36.83827214136722,0.0003614097427983652,charge_complete,target_deadband,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-008,mild_arrival,optimized,600.0,25.0,5000.0,25.383363309634845,23.22437662515111,0.383363309634845,0.2392258447989381,0.05854133657585768,840.0,14.0,46.83954696385327,0.8,36.83827214136722,0.0003614097427983652,charge_complete,target_deadband,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-009,mild_arrival,optimized,600.0,30.0,2500.0,28.173685346079367,32.19993034368572,3.173685346079367,0.23329012889729134,0.46359649122806956,850.0,14.166666666666666,47.29069452875543,0.8,38.23849267791778,0.00038915176542416786,charge_complete,optimized_preheat,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-010,mild_arrival,optimized,600.0,30.0,3750.0,29.283923645094767,35.58845087179089,4.283923645094767,0.23007040708326962,0.6827232019461399,855.0,14.25,47.53971983476109,0.8,38.810420878613826,0.00040097352901925185,charge_complete,optimized_preheat,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-011,mild_arrival,optimized,600.0,30.0,5000.0,29.87177432667652,36.33175707780194,4.871774326676519,0.22879858552019594,0.7689986392990306,855.0,14.25,47.635887683415675,0.8,39.013068800471075,0.0004055815027991322,charge_complete,target_deadband,1.2460077414289117e-10,True,True,True,True,True,True,ok
optimized-012,mild_arrival,optimized,600.0,35.0,2500.0,28.173685346079367,32.19993034368572,3.173685346079367,0.23329012889729134,0.46359649122806956,850.0,14.166666666666666,47.29069452875543,0.8,38.23849267791778,0.00038915176542416786,charge_complete,optimized_preheat,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-013,mild_arrival,optimized,600.0,35.0,3750.0,29.285072251469657,35.58977381715382,4.285072251469657,0.2300678871094239,0.682894736842106,855.0,14.25,47.53986430358555,0.8,38.81124058119573,0.000400985835446417,charge_complete,optimized_preheat,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-014,mild_arrival,optimized,600.0,35.0,5000.0,30.398699220125764,38.981036444822486,5.3986992201257635,0.22684008048589552,0.9021929824561393,855.0,14.25,47.77897623507451,0.8,39.4390470497466,0.0004131153524010436,charge_complete,optimized_preheat,1.227817847393453e-10,True,True,True,True,True,True,ok
optimized-015,mild_arrival,optimized,1200.0,15.0,2500.0,21.26158739273886,16.39290556259718,3.7384126072611394,0.2352557029007989,0.32777777777777745,845.0,14.083333333333334,47.17187263599073,0.8,35.22763733285401,0.0003355128537529685,charge_complete,optimized_precool,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-016,mild_arrival,optimized,1200.0,15.0,3750.0,20.02533970800249,15.014910066231216,4.974660291997509,0.23320616722373835,0.4666666666666667,850.0,14.166666666666666,47.336404778002354,0.8,34.79798996942317,0.0003288432900836008,charge_complete,optimized_precool,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-017,mild_arrival,optimized,1200.0,15.0,5000.0,19.554596885699187,14.344360557502808,5.445403114300813,0.23147780318102842,0.5839891812766569,850.0,14.166666666666666,47.47216833783858,0.8,34.645921906104775,0.00032714919036859274,charge_complete,optimized_precool,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-018,mild_arrival,optimized,1200.0,20.0,2500.0,21.462899472107196,16.49163801176288,3.537100527892804,0.23542001032954538,0.3167238442027864,845.0,14.083333333333334,47.159023703835366,0.8,35.26150394118312,0.0003364700270228755,charge_complete,optimized_precool,1.1823431123048067e-10,True,True,True,True,True,True,ok
optimized-019,mild_arrival,optimized,1200.0,20.0,3750.0,21.030816276569293,15.368743326850403,3.9691837234307066,0.23459150441245208,0.37306795871272297,850.0,14.166666666666666,47.223814241553924,0.8,35.06848546837185,0.00033374673659409057,charge_complete,optimized_precool,1.1823431123048067e-10,True,True,True,True,True,True,ok
