architecture,scenario,pump_scale,radiator_ua_scale,feasible,infeasibility_reason,max_battery_flow_kg_s,max_powertrain_flow_kg_s,battery_design_flow_capacity_kg_s,powertrain_design_flow_capacity_kg_s,distance_km,battery_energy_kwh,auxiliary_energy_kwh,net_energy_kwh,consumption_kwh_100km,equivalent_range_km,max_battery_temp_c,max_motor_temp_c,cabin_comfort_rmse_c,waste_heat_recovered_kwh,energy_balance_error_pct,thermal_balance_error_pct,pump_energy_kwh,mean_battery_flow_kg_s,mean_powertrain_flow_kg_s,max_battery_pressure_drop_kpa,max_powertrain_pressure_drop_kpa,hydraulic_solver_failures,liquid_hx_energy_kwh
shared_heat_sink,hill_high_load,0.4,0.75,False,battery_design_flow_envelope;powertrain_design_flow_envelope,0.0016822179491759182,0.01527520544011424,0.09660712992384309,0.13778902758173167,10.199508935091623,6.072081089165619,0.010571793023835804,6.072081089165619,59.533072894073335,125.98039434894757,29.212554317768703,41.673586129507456,0.7302963033504126,0.0,1.560239892114128e-13,2.604537740509e-12,3.1284119347027357e-07,0.0013497178341933698,0.011135994029289593,0.11573317552133461,0.11293799247927441,0.0,0.0
shared_heat_sink,hill_high_load,0.4,1.0,False,battery_design_flow_envelope;powertrain_design_flow_envelope,0.0016822179324644617,0.015275205300517979,0.09660712992384309,0.13778902758173167,10.199508935091623,6.072081089165622,0.010571793023841234,6.072081089165622,59.53307289407337,125.9803943489475,29.212554314946317,41.67358460576509,0.7302963033504126,0.0,1.5402688214950663e-13,2.4094844497832477e-12,3.1284119890010405e-07,0.0013497177939441288,0.011135993490292507,0.1157331755449351,0.11293799426940505,0.0,0.0
shared_heat_sink,hill_high_load,0.4,1.25,False,battery_design_flow_envelope;powertrain_design_flow_envelope,0.0016822179319770333,0.015275205296420513,0.09660712992384309,0.13778902758173167,10.199508935091623,6.072081089165621,0.010571793023841388,6.072081089165621,59.53307289407336,125.98039434894753,29.21255431486676,41.67358456251283,0.7302963033504126,0.0,1.7025337702749358e-13,2.4835171926464555e-12,3.128411990544408e-07,0.001349717792810361,0.011135993474989232,0.11573317554562342,0.1129379943219495,0.0,0.0
shared_heat_sink,hill_high_load,0.6,0.75,True,ok,0.0037089541966087497,0.024136356193354976,0.15845009061693988,0.20768414043998062,10.199508935091623,6.072081867037937,0.010572570896155022,6.072081867037937,59.5330805206397,125.98037821005757,29.205465067272677,40.951207858976325,0.7302963033504126,0.0,1.4112888096185343e-13,2.4604455594660598e-12,1.0907135126890425e-06,0.002990115747124659,0.01784593441099315,0.25729802117445044,0.22994659387760832,0.0,0.0
shared_heat_sink,hill_high_load,0.6,1.0,True,ok,0.003708946534472902,0.024136334052464795,0.15845009061693988,0.20768414043998062,10.199508935091623,6.072081867039702,0.010572570897921631,6.072081867039702,59.533080520657,125.98037821002094,29.205463754724068,40.95091157636009,0.7302963033504126,0.0,1.3646896508099784e-13,2.4797423943147706e-12,1.0907152792958053e-06,0.0029900977954238042,0.01784586288407506,0.2572980450319411,0.22994704250984702,0.0,0.0
shared_heat_sink,hill_high_load,0.6,1.25,True,ok,0.0037089456743360436,0.02413633154592746,0.15845009061693988,0.20768414043998062,10.199508935091623,6.072081867039903,0.010572570898123117,6.072081867039903,59.53308052065898,125.98037821001678,29.20546360751477,40.950878002370416,0.7302963033504126,0.0,1.40338359517741e-13,2.5240352470152633e-12,1.090715480783001e-06,0.002990095781507631,0.017845854779941356,0.2572980477101348,0.22994709329881144,0.0,0.0
shared_heat_sink,hill_high_load,0.8,0.75,True,ok,0.0064212863840832895,0.03303188309090455,0.22323527204500043,0.27771707482536734,10.199508935091623,6.072083444453568,0.010574148311784057,6.072083444453568,59.5330959862434,125.9803454826717,29.196376152267206,40.28291544448083,0.7302963033504126,0.0,1.4957493963900312e-13,2.3593971143130007e-12,2.6681291417223887e-06,0.005206671517982331,0.024593692284042075,0.4503764223754566,0.3855242952290263,0.0,0.0
shared_heat_sink,hill_high_load,0.8,1.0,True,ok,0.006421103240130724,0.03303163034113229,0.22323527204500043,0.27771707482536734,10.199508935091623,6.07208344446971,0.010574148327928117,6.07208344446971,59.53309598640166,125.98034548233682,29.19634660961564,40.279383431588414,0.7302963033504126,0.0,1.6567660907953463e-13,2.4280839341309307e-12,2.6681452857845263e-06,0.005206289986564334,0.024593029410616783,0.45037740963723283,0.38553130407212693,0.0,0.0
shared_heat_sink,hill_high_load,0.8,1.25,True,ok,0.006421064583305044,0.033031576618519354,0.22323527204500043,0.27771707482536734,10.199508935091623,6.07208344447332,0.010574148331536524,6.07208344447332,59.53309598643705,125.98034548226194,29.19634022914107,40.27861078156225,0.7302963033504126,0.0,1.5802103497832711e-13,2.0780357654819206e-12,2.6681488941893496e-06,0.005206207306678377,0.02459288457934278,0.45037761801838166,0.3855327938128096,0.0,0.0
shared_heat_sink,hill_high_load,1.0,0.75,True,ok,0.009724701075501354,0.04194095035989197,0.25694750624275614,0.34784255337901204,10.199508935091623,6.072086138414535,0.010576842272752806,6.072086138414535,59.53312239889702,125.98028958983267,29.18597716687205,39.66607044567729,0.7302963033504126,0.0,1.5777132669557705e-13,2.193572965180175e-12,5.362090110471854e-06,0.007934816651912684,0.03135705044770306,0.6910603851269138,0.5796347521549571,0.0,0.0
shared_heat_sink,hill_high_load,1.0,1.0,True,ok,0.009723467064066947,0.04193996463867419,0.25694750624275614,0.34784255337901204,10.199508935091623,6.072086138388131,0.010576842246349638,6.072086138388131,59.53312239863815,125.98028959038048,29.185786963621204,39.651944074323055,0.7302963033504126,0.0,1.6987877819115037e-13,2.0726436478068264e-12,5.36206370730453e-06,0.0079325103617669,0.03135483956076289,0.6910704588911523,0.5796694586823784,0.0,0.0
shared_heat_sink,hill_high_load,1.0,1.25,True,ok,0.009723084152232706,0.04193965699629151,0.25694750624275614,0.34784255337901204,10.199508935091623,6.072086138380528,0.010576842238744937,6.072086138380528,59.533122398563606,125.98028959053822,29.185726819229146,39.64741789302819,0.7302963033504126,0.0,1.5090627687976338e-13,2.3491639188868844e-12,5.362056102601692e-06,0.00793177765526233,0.03135413246703837,0.6910735845046865,0.5796802903799879,0.0,0.0
shared_heat_sink,hill_high_load,1.2,0.75,True,ok,0.013527348259238606,0.05085693588312769,0.3127519105542112,0.4180363157535246,10.199508935091623,6.072090272837346,0.010580976695563286,6.072090272837346,59.533162934405524,125.98020381117001,29.175082106803366,39.10287982762801,0.7302963033504126,0.0,1.622230970296873e-13,2.360669699625729e-12,9.496512920953949e-06,0.011108536145958567,0.03812923661583131,0.9754788905758919,0.8122568983188481,0.0,0.0
shared_heat_sink,hill_high_load,1.2,1.0,True,ok,0.013523111217732607,0.05085470568272535,0.3127519105542112,0.4180363157535246,10.199508935091623,6.072090272395552,0.010580976253769204,6.072090272395552,59.533162930074,125.9802038203361,29.174438590980387,39.06967622396768,0.7302963033504126,0.0,1.523623958363523e-13,2.08617157600785e-12,9.496071126871054e-06,0.01110121434292656,0.038124714130149985,0.9755270001223728,0.812352113994083,0.0,0.0
shared_heat_sink,hill_high_load,1.2,1.25,True,ok,0.013521415378991984,0.05085380878155331,0.3127519105542112,0.4180363157535246,10.199508935091623,6.072090272219632,0.010580976077847637,6.072090272219632,59.53316292834921,125.98020382398599,29.17417965425954,39.056148580394584,0.7302963033504126,0.0,1.4004692091753689e-13,2.316999416915043e-12,9.495895205303352e-06,0.01109825409771174,0.03812287453766559,0.9755462513236254,0.8123904049140608,0.0,0.0
