time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason
630.0,0.31136885090788646,24.757764894332315,24.322297119054483,16887.020181189677,220000.0,16887.020181189677,0.0,0.0,16887.020181189644,-3.2741809263825417e-11,temperature_in_benefit_band
635.0,0.31102824606401624,24.76424040644316,24.326728558814413,17106.652637168914,220000.0,17106.652637168914,0.0,0.0,17106.652637168983,6.912159733474255e-11,temperature_in_benefit_band
640.0,0.31068360404560513,24.770832301646145,24.331192716842857,17306.49102878896,220000.0,17306.49102878896,0.0,0.0,17306.491028789063,1.0186340659856796e-10,temperature_in_benefit_band
645.0,0.31033536511388476,24.777526812587546,24.33569120616579,17484.345884812356,220000.0,17484.345884812356,0.0,0.0,17484.345884812305,-5.093170329928398e-11,temperature_in_benefit_band
650.0,0.3099840090643256,24.784308832630607,24.340225329230236,17638.26859021798,220000.0,17638.26859021798,0.0,0.0,17638.268590218067,8.731149137020111e-11,temperature_in_benefit_band
655.0,0.30963004996074045,24.79116209422913,24.344796057902293,17766.57273563502,220000.0,17766.57273563502,0.0,0.0,17766.57273563506,4.001776687800884e-11,temperature_in_benefit_band
660.0,0.3092740304823061,24.79806936731991,24.349404017469535,17867.85259399691,220000.0,17867.85259399691,0.0,0.0,17867.852593996908,-3.637978807091713e-12,temperature_in_benefit_band
665.0,0.30891651594645947,24.805012674698222,24.35404947496068,17940.998521981273,220000.0,17940.998521981273,0.0,0.0,17940.99852198123,-4.3655745685100555e-11,temperature_in_benefit_band
670.0,0.3085580880746268,24.81197352086753,24.35873233202787,17985.209117494338,220000.0,17985.209117494338,0.0,0.0,17985.209117494294,-4.3655745685100555e-11,temperature_in_benefit_band
675.0,0.30819933857094656,24.81893313047119,24.363452122561455,18000.0,220000.0,18000.0,0.0,0.0,17999.999999999967,-3.2741809263825417e-11,temperature_in_benefit_band
680.0,0.30784086258649496,24.82587269213455,24.368208015125457,17985.209117494338,220000.0,17985.209117494338,0.0,0.0,17985.20911749434,3.637978807091713e-12,temperature_in_benefit_band
685.0,0.3074832521429831,24.832773603381998,24.372998820216726,17940.998521981277,220000.0,17940.998521981277,0.0,0.0,17940.998521981255,-2.1827872842550278e-11,temperature_in_benefit_band
690.0,0.30712708959043583,24.839617712251655,24.377823002263842,17867.85259399691,220000.0,17867.85259399691,0.0,0.0,17867.85259399699,8.003553375601768e-11,temperature_in_benefit_band
695.0,0.3067729411729777,24.846387551312084,24.38267869619627,17766.57273563502,220000.0,17766.57273563502,0.0,0.0,17766.57273563503,7.275957614183426e-12,temperature_in_benefit_band
700.0,0.30642135077554783,24.853066559988097,24.38756372833191,17638.268590217984,220000.0,17638.268590217984,0.0,0.0,17638.268590217926,-5.820766091346741e-11,temperature_in_benefit_band
705.0,0.3060728339221564,24.85963929141824,24.392475641254947,17484.34588481236,220000.0,17484.34588481236,0.0,0.0,17484.345884812374,1.4551915228366852e-11,temperature_in_benefit_band
