time_s,soc,battery_core_temp_c,battery_surface_temp_c,requested_traction_power_w,available_traction_power_w,actual_traction_power_w,preconditioning_thermal_power_w,preconditioning_aux_power_w,battery_terminal_power_w,power_closure_residual_w,preconditioning_reason,incremental_aging_damage,cumulative_route_aging_damage
875.0,0.29603843632065097,-13.748118881230765,-14.115132344323865,13949.999999999998,220000.0,13949.999999999998,0.0,0.0,13950.000000000033,3.456079866737127e-11,strategy_none,7.513752982293662e-09,1.4345173345681374e-06
880.0,0.2957531199341019,-13.742286296690034,-14.109422094427721,14201.81106369534,220000.0,14201.81106369534,0.0,0.0,14201.811063695317,-2.3646862246096134e-11,strategy_none,7.674135270448324e-09,1.4421914698385857e-06
885.0,0.295462404364796,-13.736254968862513,-14.103719916720074,14465.654115187644,220000.0,14465.654115187644,0.0,0.0,14465.654115187619,-2.546585164964199e-11,strategy_none,7.843248566322054e-09,1.4500347184049078e-06
890.0,0.29516609890765605,-13.73001677904552,-14.098021660021596,14738.638434792043,220000.0,14738.638434792043,0.0,0.0,14738.638434792016,-2.7284841053187847e-11,strategy_none,8.019412269748036e-09,1.458054130674656e-06
895.0,0.29486407358606975,-13.723565712876768,-14.092323101449402,15017.773149177332,220000.0,15017.773149177332,0.0,0.0,15017.77314917731,-2.1827872842550278e-11,strategy_none,8.20083825375389e-09,1.46625496892841e-06
900.0,0.29455626068746343,-13.716897999505822,-14.086619990070016,15299.999999999998,220000.0,15299.999999999998,0.0,0.0,15299.999999999973,-2.546585164964199e-11,strategy_none,8.385645498175509e-09,1.4746406144265855e-06
905.0,0.29424265562576224,-13.71001223137945,-14.080908092382288,15582.226850822653,220000.0,15582.226850822653,0.0,0.0,15582.226850822688,3.456079866737127e-11,strategy_none,8.571877156184749e-09,1.4832124915827702e-06
910.0,0.2939233171162886,-13.702909459921393,-14.075183239202579,15861.361565207952,220000.0,15861.361565207952,0.0,0.0,15861.361565207959,7.275957614183426e-12,strategy_none,8.757520055558515e-09,1.4919700116383287e-06
915.0,0.2935983666559743,-13.695593262549195,-14.069441373439476,16134.345884812352,220000.0,16134.345884812352,0.0,0.0,16134.345884812377,2.546585164964199e-11,strategy_none,8.940526543895386e-09,1.5009105381822241e-06
920.0,0.29326798730938486,-13.688069776836155,-14.063678598165335,16398.188936304665,220000.0,16398.188936304665,0.0,0.0,16398.188936304643,-2.1827872842550278e-11,strategy_none,9.118838486401505e-09,1.5100293766686256e-06
925.0,0.29293242180890194,-13.680347698191305,-14.057891224321079,16649.999999999996,220000.0,16649.999999999996,0.0,0.0,16650.000000000004,7.275957614183426e-12,strategy_none,9.290413120770972e-09,1.5193197897893965e-06
930.0,0.2925919699853842,-13.672438238181527,-14.052075817332629,16887.020181189677,220000.0,16887.020181189677,0.0,0.0,16887.0201811897,2.1827872842550278e-11,strategy_none,9.453250371096993e-09,1.5287730401604934e-06
935.0,0.2922469855536277,-13.664355041535796,-14.046229241875572,17106.652637168914,220000.0,17106.652637168914,0.0,0.0,17106.652637168885,-2.9103830456733704e-11,strategy_none,9.605421127030068e-09,1.5383784612875235e-06
940.0,0.2918978722848539,-13.65611406092179,-14.040348704002163,17306.491028788965,220000.0,17306.491028788965,0.0,0.0,17306.491028788932,-3.2741809263825417e-11,strategy_none,9.745095910912338e-09,1.5481235571984357e-06
945.0,0.29154507960615134,-13.647733389732691,-14.03443178984371,17484.345884812352,220000.0,17484.345884812352,0.0,0.0,17484.345884812374,2.1827872842550278e-11,strategy_none,9.870573289447846e-09,1.5579941304878836e-06
950.0,0.2911890976741488,-13.639233054323757,-14.028476500123357,17638.268590217984,220000.0,17638.268590217984,0.0,0.0,17638.26859021796,-2.546585164964199e-11,strategy_none,9.980307342066721e-09,1.5679744378299504e-06
955.0,0.2908304519770866,-13.630634768347743,-14.02248127975977,17766.57273563502,220000.0,17766.57273563502,0.0,0.0,17766.572735634993,-2.9103830456733704e-11,strategy_none,1.0072933479049678e-08,1.5780473713090001e-06
960.0,0.2904696975257378,-13.621961653006629,-14.01644504191092,17867.85259399691,220000.0,17867.85259399691,0.0,0.0,17867.85259399694,2.9103830456733704e-11,strategy_none,1.0147291911059208e-08,1.5881946632200593e-06
965.0,0.2901074126992044,-13.613237928116716,-14.010367185897735,17940.998521981273,220000.0,17940.998521981273,0.0,0.0,17940.998521981273,0.0,strategy_none,1.0202448108972191e-08,1.5983971113290315e-06
970.0,0.28974419281635494,-13.60448857982958,-14.004247608557566,17985.209117494338,220000.0,17985.209117494338,0.0,0.0,17985.209117494294,-4.3655745685100555e-11,strategy_none,1.023770965832038e-08,1.6086348209873518e-06
975.0,0.289380643507486,-13.595739011622532,-13.998086708704085,18000.0,220000.0,18000.0,0.0,0.0,18000.000000000025,2.546585164964199e-11,strategy_none,1.0252639004204152e-08,1.618887459991556e-06
980.0,0.28901737396360133,-13.587014685735971,-13.991885384509578,17985.209117494338,220000.0,17985.209117494338,0.0,0.0,17985.209117494294,-4.3655745685100555e-11,strategy_none,1.0247061696774911e-08,1.629134521688331e-06
985.0,0.28865499014244406,-13.578340762566791,-13.985645023773166,17940.998521981277,220000.0,17940.998521981277,0.0,0.0,17940.998521981288,1.0913936421275139e-11,strategy_none,1.0221069879511398e-08,1.6393555915678423e-06
990.0,0.2882940880110577,-13.569741745612355,-13.979367487189457,17867.852593996915,220000.0,17867.852593996915,0.0,0.0,17867.852593996915,0.0,strategy_none,1.017502090672391e-08,1.6495306124745662e-06
995.0,0.2879352469041712,-13.56124113939445,-13.973055084881514,17766.57273563502,220000.0,17766.57273563502,0.0,0.0,17766.572735634996,-2.546585164964199e-11,strategy_none,1.0109531126472567e-08,1.6596401436010387e-06
1000.0,0.28757902307611377,-13.552861127384238,-13.966710546604885,17638.26859021799,220000.0,17638.26859021799,0.0,0.0,17638.268590217987,-3.637978807091713e-12,strategy_none,1.0025465013475774e-08,1.6696656086145144e-06
1005.0,0.2872259435213002,-13.544622276314715,-13.960336986160936,17484.345884812356,220000.0,17484.345884812356,0.0,0.0,17484.345884812352,-3.637978807091713e-12,strategy_none,9.92391997677639e-09,1.6795895285912907e-06
1010.0,0.2868765001346427,-13.536543272433958,-13.953937860673715,17306.49102878897,220000.0,17306.49102878897,0.0,0.0,17306.491028788943,-2.546585164964199e-11,strategy_none,9.806207292528208e-09,1.689395735883819e-06
1015.0,0.2865311442786166,-13.528640694255365,-13.947516925481363,17106.65263716891,220000.0,17106.65263716891,0.0,0.0,17106.65263716893,1.8189894035458565e-11,strategy_none,9.673829717692836e-09,1.6990695656015118e-06
